displayName,salary,teamAbbreviation
Lamar Jackson,8800,BAL
Cooper Kupp,8500,LAR
Saquon Barkley,8400,NYG
Justin Fields,8000,CHI
Travis Etienne Jr.,7400,JAX
Patrick Mahomes,7200,KC
Trevor Lawrence,6600,JAX
Travis Kelce,6600,KC
Marquez Valdes-Scantling,6200,KC
Matthew Stafford,6000,LAR
J.K. Dobbins,5900,BAL
Calvin Ridley,5800,JAX
Daniel Jones,5700,NYG
Christian Kirk,5700,JAX
Darius Slayton,5600,NYG
Kyren Williams,5500,LAR
Evan Engram,5400,JAX
Khalil Herbert,5300,CHI
Tutu Atwell,5200,LAR
Tyler Huntley,5000,BAL
Carson Wentz,5000,LAR
Blaine Gabbert,5000,KC
Tommy DeVito,5000,NYG
C.J. Beathard,5000,JAX
Tyson Bagent,5000,CHI
Tyrod Taylor,5000,NYG
Stetson Bennett,5000,LAR
Josh Johnson,5000,BAL
Nathan Peterman,5000,CHI
Matt Barkley,5000,NYG
Sterling Shepard,4900,NYG
Isiah Pacheco,4800,KC
Darnell Mooney,4800,CHI
Kadarius Toney,4500,KC
Rashee Rice,4400,KC
Zay Jones,4300,JAX
Jerick McKinnon,4200,KC
Puka Nacua,4200,LAR
Darren Waller,4000,NYG
Zay Flowers,3900,BAL
Tyler Higbee,3700,LAR
Cole Kmet,3600,CHI
DJ Moore,3500,CHI
Wan'Dale Robinson,3400,NYG
Mark Andrews,3400,BAL
Odell Beckham Jr.,3300,BAL
Tyler Scott,3200,CHI
Ravens,3200,BAL
Nelson Agholor,3100,BAL
Jaguars,3100,JAX
D'Onta Foreman,3000,CHI
Patrick Ricard,3000,BAL
Gus Edwards,3000,BAL
Matt Breida,3000,NYG
Darrell Henderson Jr.,3000,LAR
Tank Bigsby,3000,JAX
Clyde Edwards-Helaire,3000,KC
D'Ernest Johnson,3000,JAX
Roschon Johnson,3000,CHI
Royce Freeman,3000,LAR
Deon Jackson,3000,NYG
Keaton Mitchell,3000,BAL
Khari Blasingame,3000,CHI
Eric Gray,3000,NYG
Zach Evans,3000,LAR
Justice Hill,3000,BAL
Travis Homer,3000,CHI
Jashaun Corbin,3000,NYG
Ronnie Rivers,3000,LAR
Gary Brightwell,3000,NYG
Jalin Hyatt,3000,NYG
Mecole Hardman,3000,KC
Rashod Bateman,3000,BAL
Jamal Agnew,3000,JAX
Isaiah Hodgins,3000,NYG
Skyy Moore,3000,KC
Equanimeous St. Brown,3000,CHI
Ben Skowronek,3000,LAR
Devin Duvernay,3000,BAL
Demarcus Robinson,3000,LAR
Parris Campbell,3000,NYG
Justin Watson,3000,KC
Velus Jones Jr.,3000,CHI
Tim Jones,3000,JAX
Tylan Wallace,3000,BAL
Trent Taylor,3000,CHI
Elijah Cooks,3000,JAX
Austin Trammell,3000,LAR
Richie James Jr.,3000,KC
Parker Washington,3000,JAX
Gunner Olszewski,3000,NYG
Justyn Ross,3000,KC
Jaylon Moore,3000,JAX
Chiefs,3000,KC
Bears,2900,CHI
Rams,2800,LAR
Giants,2700,NYG
Noah Gray,2500,KC
Daniel Bellinger,2500,NYG
Luke Farrell,2500,JAX
Marcedes Lewis,2500,CHI
Isaiah Likely,2500,BAL
Brenton Strange,2500,JAX
Brycen Hopkins,2500,LAR
Robert Tonyan,2500,CHI
Lawrence Cager,2500,NYG
Charlie Kolar,2500,BAL
Hunter Long,2500,LAR
Blake Bell,2500,KC
Jody Fortson,2500,KC
Davis Allen,2500,LAR
Tommy Sweeney,2500,NYG
Tyler Ott,2500,BAL
Patrick Scales,2500,CHI
James Winchester,2500,KC
